,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG
,0,1,0,1,0,1,none,In,Out,All
12,0.45833333333333326,0.5166666666666667,0.565750089069889,0.47127993369207044,0.6175931068011612,0.3824068931988387,0,"[('435', 7.532747286930261), ('345', 7.266359860209678), ('554', 7.233845495005065), ('473', 7.19393844275724), ('652', 6.594226195679083), ('248', 6.553568240660342), ('544', 6.170926703644824), ('850', 5.503364450680531), ('998', 5.415786292456399), ('309', 5.302633400703279)]","[('345', 6.6275708737751975), ('435', 6.009773948222867), ('652', 5.9475325782260935), ('554', 5.120885059333979), ('473', 4.676440614889534), ('544', 4.405348651552975), ('850', 3.9609042071085305), ('248', 3.787551726000645), ('998', 2.4542183926673116), ('309', 2.0097739482228674)]",0.9657687364398826
13,0.46153846153846156,0.5230769230769231,0.5771194468368187,0.46209463366483977,0.6378211962654874,0.36217880373451256,0,"[('784', 9.943592397026693), ('336', 9.663001263414417), ('618', 8.780710582686883), ('28', 7.112041153669922), ('230', 7.037004061436466), ('299', 6.649559947919175), ('785', 6.4190983715291585), ('905', 6.143606884304641), ('582', 5.923666302071847), ('704', 5.603183204240114)]","[('784', 6.399394776740413), ('336', 5.954950332295969), ('618', 5.510505887851524), ('299', 5.183224787114059), ('28', 5.066061443407079), ('230', 4.621616998962636), ('785', 3.7327281100737464), ('905', 3.288283665629302), ('582', 2.8438392211848575), ('704', 2.3993947767404133)]",0.9986549606694171
14,0.42857142857142855,0.5,0.5792133553157683,0.45971659059936565,0.6446611082106611,0.3553388917893388,0,"[('860', 7.968894984701959), ('819', 6.920991987923848), ('867', 6.900465104367833), ('350', 6.652035600062732), ('137', 6.222641238008367), ('162', 6.056052059807649), ('470', 5.8959983411778385), ('176', 5.717200843915166), ('25', 5.466740044701873), ('127', 5.3562359315923205)]","[('860', 6.320927469941483), ('819', 5.876483025497039), ('867', 5.432038581052594), ('350', 4.987594136608149), ('137', 4.543149692163706), ('127', 4.111652770526653), ('162', 4.098705247719261), ('470', 3.6542608032748163), ('176', 3.2098163588303716), ('25', 2.7653719143859274)]",0.9979170012877336
15,0.43333333333333335,0.4666666666666667,0.560843286754516,0.47242401752849944,0.5995892190345639,0.4004107809654361,0,"[('350', 6.826679161165095), ('373', 5.922337235827666), ('153', 5.837928986494384), ('414', 5.7576186702830965), ('764', 5.593035174911701), ('191', 5.459512830031507), ('140', 5.301588316621331), ('232', 4.916666281755057), ('344', 4.4762549962074605), ('172', 4.4002443662042685)]","[('350', 6.277549566130313), ('373', 5.833105121685869), ('153', 5.3886606772414245), ('414', 4.94421623279698), ('140', 4.723135068812081), ('764', 4.499771788352535), ('232', 4.278690624367636), ('191', 4.0553273439080915), ('344', 2.7219940105747575), ('172', 2.2775495661303133)]",0.9976892214282366
16,0.40625,0.4625,0.5827951826054104,0.4632506467558138,0.6361435189243754,0.3638564810756247,0,"[('230', 8.508376334722964), ('602', 8.187890194637454), ('679', 8.050528214155113), ('202', 7.250401794915673), ('428', 6.970093191760257), ('572', 6.914621779932851), ('529', 6.540074860457317), ('628', 6.0126897302322595), ('240', 5.902377603243859), ('563', 5.864655181009425)]","[('602', 7.3427006186368065), ('679', 6.141903291279166), ('230', 6.020079732735764), ('572', 4.808569957945832), ('202', 4.6867463994024305), ('529', 4.3641255135013886), ('428', 4.242301954957986), ('628', 2.908968621624653), ('240', 2.4645241771802087), ('563', 2.020079732735764)]",0.9543132018493926
17,0.4117647058823529,0.47058823529411764,0.5585812934278543,0.48944933799417983,0.5913620614100843,0.40863793858991576,0,"[('399', 7.894737480449539), ('810', 7.572210825812016), ('204', 7.276434256694213), ('738', 6.9363623186517405), ('677', 6.578488868395672), ('228', 6.457789038017447), ('133', 6.185358654715503), ('725', 5.831626453052497), ('729', 5.715920346192), ('906', 5.711450680824482)]","[('810', 6.736618786538749), ('399', 6.045957846011205), ('738', 5.8477298976498595), ('677', 5.403285453205415), ('204', 5.157068957122315), ('133', 4.5143965643165265), ('228', 3.8237356237889824), ('725', 2.9348467349000935), ('729', 2.4904022904556493), ('906', 2.0459578460112047)]",0.9635273232968911
18,0.3888888888888889,0.4888888888888889,0.586737727807156,0.46586068564610694,0.6547702703866566,0.3452297296133434,0,"[('160', 7.526215169653799), ('149', 6.785245279293469), ('312', 6.463915792281663), ('900', 5.9581725932604055), ('800', 5.916922107573802), ('862', 5.643291293102043), ('671', 5.269631252649397), ('848', 5.116148563085751), ('475', 4.9586390913605705), ('731', 4.886761131220627)]","[('160', 6.797605104911128), ('312', 6.768551051503665), ('900', 5.464271771577795), ('149', 5.394189189318507), ('862', 4.575382882688905), ('800', 4.060855855985174), ('848', 3.686493993800017), ('671', 3.171966967096285), ('731', 2.7976051049111277), ('475', 2.2830780782073963)]",0.9835629482485609
19,0.3947368421052631,0.5157894736842106,0.5679035864250275,0.4726368263700973,0.6434551539027759,0.3565448460972241,0,"[('230', 10.23752618084612), ('135', 7.776163413174318), ('487', 7.179589396081127), ('239', 6.8664674485599875), ('149', 5.909837389821245), ('806', 5.892465580487405), ('603', 5.528133855006422), ('750', 5.372894876202783), ('132', 5.158063854493591), ('948', 5.1567459008911625)]","[('239', 7.388888888888889), ('487', 6.842930983063266), ('230', 5.944444444444445), ('135', 5.5), ('149', 4.166666666666667), ('806', 3.7222222222222223), ('603', 3.2777777777777777), ('948', 2.9348467947145114), ('750', 2.8333333333333335), ('132', 2.388888888888889)]",0.6390815129509203
20,0.425,0.51,0.5728070380429552,0.49679515787625417,0.6093800144433713,0.39061998555662863,0,"[('505', 6.097424991640734), ('148', 5.764471029452698), ('572', 5.365623282387332), ('186', 4.984341443354952), ('2', 4.441890855825287), ('127', 4.3870461720404315), ('597', 4.255109139720014), ('498', 4.074635629507432), ('49', 4.016375257527265), ('57', 3.965390199293967)]","[('186', 5.639772266354746), ('572', 5.476549963891571), ('597', 5.391494448456492), ('505', 5.2803833373453815), ('498', 4.9470500040120475), ('148', 4.835938892900937), ('127', 4.750883377465857), ('2', 4.587661075002683), ('49', 2.809883297224905), ('57', 1.2803833373453808)]",0.8338790648554609
21,0.5,0.5333333333333333,0.5950734098508877,0.4595343125536498,0.6424319487825585,0.35756805121744156,0,"[('178', 13.042624337524718), ('995', 11.286885082172128), ('300', 10.533809822160357), ('345', 8.947202109365083), ('819', 8.410071026592416), ('710', 7.989845156062547), ('827', 7.834870493402409), ('881', 7.626757897058768), ('186', 7.068991242301943), ('97', 6.930607585657751)]","[('995', 6.57237344714987), ('178', 6.023573304879199), ('345', 5.683484558260981), ('300', 5.13468441599031), ('827', 4.3501512249276475), ('186', 4.252550940386306), ('819', 4.245795527101421), ('710', 3.8013510826569767), ('881', 2.912462193768088), ('97', 2.023573304879199)]",0.800670925432023
